,DPO_n20_displacement5,DPO_n20_displacement10,DPO_n30_displacement5,DPO_n30_displacement10,DPO_n50_displacement10,DPO_n50_displacement20,DPO_n50_displacement30,DPO_n100_displacement20,DPO_n100_displacement30,DPO_n100_displacement50
DPO_n20_displacement5,1.0,0.8196415716632475,0.8064206584979488,0.7331353125949678,0.599180148459343,0.49244552971991173,0.4303933834559736,0.3887310645858098,0.3579391927006831,0.32904072223648423
DPO_n20_displacement10,0.8196415716632475,1.0,0.9170443548251959,0.8657142891652785,0.7005287494009204,0.5935653299535104,0.531974084705126,0.49070893394947257,0.44685826479383,0.4175363767570236
DPO_n30_displacement5,0.8064206584979488,0.9170443548251959,1.0,0.9119300621992095,0.7401858356595514,0.6233145814998486,0.5616550407382157,0.4913285678820135,0.4471506261916416,0.4180004022329355
DPO_n30_displacement10,0.7331353125949678,0.8657142891652785,0.9119300621992095,1.0,0.8034333124277425,0.6865476298282406,0.6252097979151574,0.5249856956497174,0.48864485889147397,0.46135859021361425
DPO_n50_displacement10,0.599180148459343,0.7005287494009204,0.7401858356595514,0.8034333124277425,1.0,0.8748624464185082,0.786444836364083,0.6583968172603116,0.6031902411314631,0.5762412784101488
DPO_n50_displacement20,0.49244552971991173,0.5935653299535104,0.6233145814998486,0.6865476298282406,0.8748624464185082,1.0,0.896278742483573,0.7289449295336867,0.6836296949070502,0.6469083141665606
DPO_n50_displacement30,0.4303933834559736,0.531974084705126,0.5616550407382157,0.6252097979151574,0.786444836364083,0.896278742483573,1.0,0.80620439100727,0.7712361159740543,0.7266790955416759
DPO_n100_displacement20,0.3887310645858098,0.49070893394947257,0.4913285678820135,0.5249856956497174,0.6583968172603116,0.7289449295336867,0.80620439100727,1.0,0.9401796175981361,0.8886934059657043
DPO_n100_displacement30,0.3579391927006831,0.44685826479383,0.4471506261916416,0.48864485889147397,0.6031902411314631,0.6836296949070502,0.7712361159740543,0.9401796175981361,1.0,0.9327008639933164
DPO_n100_displacement50,0.32904072223648423,0.4175363767570236,0.4180004022329355,0.46135859021361425,0.5762412784101488,0.6469083141665606,0.7266790955416759,0.8886934059657043,0.9327008639933164,1.0
