,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
Momentum2_2_3,0.06138325534460165,0.5999999999999999,0.5157384987893463,0.021401541366140937,0.5859395279596212,0.0054829734123413715,0.0
Momentum2_2_5,0.0728434448877626,-0.40000000000000013,0.5012106537530266,0.034444525050188544,0.5903816528956083,0.05567899133156108,0.0
Momentum2_2_10,0.07418371121407397,-0.40000000000000013,0.5036319612590799,0.044633398957599164,0.5943498462387712,0.20864859385000695,0.0
Momentum2_3_5,0.07965089273125003,-0.40000000000000013,0.5012106537530266,0.04062197787057694,0.5897672374505007,0.09984294824065401,0.0
Momentum2_3_15,0.05653223202306398,-0.40000000000000013,0.5084745762711864,0.0478894853679041,0.5996773515614804,0.28202942399545017,0.0
Momentum2_3_20,0.04557727299242663,-0.40000000000000013,0.5036319612590798,0.05061678139352436,0.6045390093181809,0.2606744484760646,0.0
Momentum2_5_8,0.06929199932066768,-0.40000000000000013,0.5084745762711864,0.04616336337554889,0.5951604759746818,0.28023800878346167,0.0
Momentum2_5_10,0.06021927122466813,-0.40000000000000013,0.5036319612590798,0.046224261244922384,0.5986911327738044,0.30027027480909596,0.0
Momentum2_5_30,0.024290031109037647,-0.40000000000000013,0.5181598062953995,0.055894395358427926,0.620895883353887,0.20426443020306922,0.0
Momentum2_10_30,0.013398746107529292,-0.40000000000000013,0.5278450363196125,0.056271015937551995,0.6263579188920846,0.17758434361689027,0.0
