,bang01_5_1.0_RSI_9,bang01_10_1.0_RSI_9,bang01_20_1.0_RSI_9,bang01_30_1.0_RSI_9,bang01_50_1.0_RSI_9,bang01_100_1.0_RSI_9,bang01_5_1.0_RSI_14,bang01_10_1.0_RSI_14,bang01_20_1.0_RSI_14,bang01_30_1.0_RSI_14,bang01_50_1.0_RSI_14,bang01_100_1.0_RSI_14
bang01_5_1.0_RSI_9,1.0,0.6679500329100898,0.5386556942359296,0.5158733113059317,0.4537868989875253,0.4099857298777937,0.7909735642453106,0.6537090619427776,0.5120290780611709,0.4608233121838884,0.4083722983523002,0.3987694070057507
bang01_10_1.0_RSI_9,0.6679500329100898,1.0,0.7302659373553096,0.6634474745071081,0.5440021451576624,0.5084994962846006,0.6358053814413972,0.8252749684860835,0.6804002386568455,0.566736902830235,0.4816549000561289,0.47510132770159347
bang01_20_1.0_RSI_9,0.5386556942359296,0.7302659373553096,1.0,0.8367811225194716,0.6768028700990988,0.60157406724713,0.527790810547275,0.7058484115140984,0.843118811172012,0.7526175654267898,0.60681262982688,0.5642152171602733
bang01_30_1.0_RSI_9,0.5158733113059317,0.6634474745071081,0.8367811225194716,1.0,0.7817869448021381,0.6687613864222928,0.47088513731413684,0.6208604669047568,0.7527412775783048,0.839847656347608,0.726199806396301,0.6181829188688791
bang01_50_1.0_RSI_9,0.4537868989875253,0.5440021451576624,0.6768028700990988,0.7817869448021381,1.0,0.8170329911673099,0.43514046345456364,0.5033449244545226,0.6609358425241869,0.7269094492512825,0.8527488724352801,0.7586488184855501
bang01_100_1.0_RSI_9,0.4099857298777937,0.5084994962846006,0.60157406724713,0.6687613864222928,0.8170329911673099,1.0,0.38416829767247795,0.4506264841120329,0.5705982522610079,0.6041234646762115,0.7143679698353808,0.8216208599456486
bang01_5_1.0_RSI_14,0.7909735642453106,0.6358053814413972,0.527790810547275,0.47088513731413684,0.43514046345456364,0.38416829767247795,1.0,0.7164956903856158,0.5879424802690587,0.48551187912663213,0.42530536219477477,0.43333901539064995
bang01_10_1.0_RSI_14,0.6537090619427776,0.8252749684860835,0.7058484115140984,0.6208604669047568,0.5033449244545226,0.4506264841120329,0.7164956903856158,1.0,0.7407321346327639,0.6140790557837594,0.4998270572443567,0.49291378207424985
bang01_20_1.0_RSI_14,0.5120290780611709,0.6804002386568455,0.843118811172012,0.7527412775783048,0.6609358425241869,0.5705982522610079,0.5879424802690587,0.7407321346327639,1.0,0.8311697155636488,0.6839858766844802,0.6427744365591999
bang01_30_1.0_RSI_14,0.4608233121838884,0.566736902830235,0.7526175654267898,0.839847656347608,0.7269094492512825,0.6041234646762115,0.48551187912663213,0.6140790557837594,0.8311697155636488,1.0,0.7951761002479346,0.6689201079825428
bang01_50_1.0_RSI_14,0.4083722983523002,0.4816549000561289,0.60681262982688,0.726199806396301,0.8527488724352801,0.7143679698353808,0.42530536219477477,0.4998270572443567,0.6839858766844802,0.7951761002479346,1.0,0.8030416151888399
bang01_100_1.0_RSI_14,0.3987694070057507,0.47510132770159347,0.5642152171602733,0.6181829188688791,0.7586488184855501,0.8216208599456486,0.43333901539064995,0.49291378207424985,0.6427744365591999,0.6689201079825428,0.8030416151888399,1.0
